school,sex,age,address,taille_famille,parents_cohabitation,niveau_edu_mere,niveau_edu_pere,emploi_mere,emploi_pere,raison_choix_ecole,tuteur,traveltime,studytime,failures,soutien_edu_sup,soutien_fam_sup,cours_payant_sup,activities,frequente_maternelle,etu_superieur,internet,romantic,qualite_relation_fam,freetime,sorties_amis,conso_alcool_workday,conso_alcool_weekend,health,absences,G1,G2,G3,matiere
GP,F,18,U,GT3,False,universite,universite,at_home,teacher,course,mother,2,2,0,True,False,False,False,True,True,False,False,4,3,4,1,1,3,6,5,6,6,Maths
GP,F,17,U,GT3,True,primaire,primaire,at_home,other,course,father,1,2,0,False,True,False,False,False,True,True,False,5,3,3,1,1,3,4,5,5,6,Maths
GP,F,15,U,LE3,True,primaire,primaire,at_home,other,other,mother,1,2,3,True,False,True,False,True,True,True,False,4,3,2,2,3,3,10,7,8,10,Maths
GP,F,15,U,GT3,True,universite,college,health,services,home,mother,1,3,0,False,True,True,True,True,True,True,True,3,2,2,1,1,5,2,15,14,15,Maths
GP,F,16,U,GT3,True,lycee,lycee,other,other,home,father,1,2,0,False,True,True,False,True,True,False,False,4,3,2,1,2,5,4,6,10,10,Maths
GP,M,16,U,LE3,True,universite,lycee,services,other,reputation,mother,1,2,0,False,True,True,True,True,True,True,False,5,4,2,1,2,5,10,15,15,15,Maths
GP,M,16,U,LE3,True,college,college,other,other,home,mother,1,2,0,False,False,False,False,True,True,True,False,4,4,4,1,1,3,0,12,12,11,Maths
GP,F,17,U,GT3,False,universite,universite,other,teacher,home,mother,2,2,0,True,True,False,False,True,True,False,False,4,1,4,1,1,1,6,6,5,6,Maths
GP,M,15,U,LE3,False,lycee,college,services,other,home,mother,1,2,0,False,True,True,False,True,True,True,False,4,2,2,1,1,1,0,16,18,19,Maths
GP,M,15,U,GT3,True,lycee,universite,other,other,home,mother,1,2,0,False,True,True,True,True,True,True,False,5,5,1,1,1,5,0,14,15,15,Maths
GP,F,15,U,GT3,True,universite,universite,teacher,health,reputation,mother,1,2,0,False,True,True,False,True,True,True,False,3,3,3,1,2,2,0,10,8,9,Maths
GP,F,15,U,GT3,True,college,primaire,services,other,reputation,father,3,3,0,False,True,False,True,True,True,True,False,5,2,2,1,1,4,4,10,12,12,Maths
GP,M,15,U,LE3,True,universite,universite,health,services,course,father,1,1,0,False,True,True,True,True,True,True,False,4,3,3,1,3,5,2,14,14,14,Maths
GP,M,15,U,GT3,True,universite,lycee,teacher,other,course,mother,2,2,0,False,True,True,False,True,True,True,False,5,4,3,1,2,3,2,10,10,11,Maths
GP,M,15,U,GT3,False,college,college,other,other,home,other,1,3,0,False,True,False,False,True,True,True,True,4,5,2,1,1,3,0,14,16,16,Maths
GP,F,16,U,GT3,True,universite,universite,health,other,home,mother,1,1,0,False,True,False,False,True,True,True,False,4,4,4,1,2,2,4,14,14,14,Maths
GP,F,16,U,GT3,True,universite,universite,services,services,reputation,mother,1,3,0,False,True,True,True,True,True,True,False,3,2,3,1,2,2,6,13,14,14,Maths
GP,F,16,U,GT3,True,lycee,lycee,other,other,reputation,mother,3,2,0,True,True,False,True,True,True,False,False,5,3,2,1,1,4,4,8,10,10,Maths
GP,M,17,U,GT3,True,lycee,college,services,services,course,mother,1,1,3,False,True,False,True,True,True,True,False,5,5,5,2,4,5,16,6,5,5,Maths
GP,M,16,U,LE3,True,universite,lycee,health,other,home,father,1,1,0,False,False,True,True,True,True,True,False,3,1,3,1,3,5,4,8,10,10,Maths
GP,M,15,U,GT3,True,universite,lycee,teacher,other,reputation,mother,1,2,0,False,False,False,False,True,True,True,False,4,4,1,1,1,1,0,13,14,15,Maths
GP,M,15,U,GT3,True,universite,universite,health,health,other,father,1,1,0,False,True,True,False,True,True,True,False,5,4,2,1,1,5,0,12,15,15,Maths
GP,M,16,U,LE3,True,universite,college,teacher,other,course,mother,1,2,0,False,False,False,True,True,True,True,False,4,5,1,1,3,5,2,15,15,16,Maths
GP,M,16,U,LE3,True,college,college,other,other,reputation,mother,2,2,0,False,True,False,True,True,True,True,False,5,4,4,2,4,5,0,13,13,12,Maths
GP,F,15,R,GT3,True,college,universite,services,health,course,mother,1,3,0,True,True,True,True,True,True,True,False,4,3,2,1,1,5,2,10,9,8,Maths
GP,F,16,U,GT3,True,college,college,services,services,home,mother,1,1,2,False,True,True,False,False,True,True,False,1,2,2,1,3,5,14,6,9,8,Maths
GP,M,15,U,GT3,True,college,college,other,other,home,mother,1,1,0,False,True,True,False,True,True,True,False,4,2,2,1,2,5,2,12,12,11,Maths
GP,M,15,U,GT3,True,universite,college,health,services,other,mother,1,1,0,False,False,True,False,True,True,True,False,2,2,4,2,4,1,4,15,16,15,Maths
GP,M,16,U,LE3,False,lycee,universite,services,other,home,mother,1,2,0,True,True,False,True,True,True,True,False,5,3,3,1,1,5,4,11,11,11,Maths
GP,M,16,U,GT3,True,universite,universite,teacher,teacher,home,mother,1,2,0,False,True,True,True,True,True,True,True,4,4,5,5,5,5,16,10,12,11,Maths
GP,M,15,U,GT3,True,universite,universite,health,services,home,mother,1,2,0,False,True,True,False,False,True,True,False,5,4,2,3,4,5,0,9,11,12,Maths
GP,M,15,U,GT3,True,universite,universite,services,services,reputation,mother,2,2,0,False,True,False,True,True,True,True,False,4,3,1,1,1,5,0,17,16,17,Maths
GP,M,15,R,GT3,True,universite,lycee,teacher,at_home,course,mother,1,2,0,False,True,False,True,True,True,True,True,4,5,2,1,1,5,0,17,16,16,Maths
GP,M,15,U,LE3,True,lycee,lycee,other,other,course,mother,1,2,0,False,False,False,True,False,True,True,False,5,3,2,1,1,2,0,8,10,12,Maths
GP,M,16,U,GT3,True,lycee,college,other,other,home,mother,1,1,0,False,True,True,False,False,True,True,False,5,4,3,1,1,5,0,12,14,15,Maths
GP,F,15,U,GT3,True,college,lycee,other,other,other,father,2,1,0,False,True,False,True,True,True,False,False,3,5,1,1,1,5,0,8,7,6,Maths
GP,M,15,U,LE3,True,universite,lycee,teacher,services,home,mother,1,3,0,False,True,False,True,True,True,True,False,5,4,3,1,1,4,2,15,16,18,Maths
GP,M,16,R,GT3,False,universite,universite,other,teacher,reputation,mother,2,3,0,False,True,False,True,True,True,True,True,2,4,3,1,1,5,7,15,16,15,Maths
GP,F,15,R,GT3,True,lycee,universite,services,health,course,mother,1,3,0,True,True,True,True,True,True,True,False,4,3,2,1,1,5,2,12,12,11,Maths
